case,iter,status_code,latency_ms,prediction,timestamp_start_iso
fake_2,40,200,94.06,FAKE,2025-11-02T15:34:14
fake_2,41,200,96.41,FAKE,2025-11-02T15:34:14
fake_2,42,200,95.7,FAKE,2025-11-02T15:34:14
fake_2,43,200,94.1,FAKE,2025-11-02T15:34:14
fake_2,44,200,92.41,FAKE,2025-11-02T15:34:14
fake_2,45,200,92.61,FAKE,2025-11-02T15:34:14
fake_2,46,200,91.72,FAKE,2025-11-02T15:34:14
fake_2,47,200,95.63,FAKE,2025-11-02T15:34:14
fake_2,48,200,94.82,FAKE,2025-11-02T15:34:14
fake_2,49,200,96.05,FAKE,2025-11-02T15:34:15
fake_2,50,200,93.35,FAKE,2025-11-02T15:34:15
fake_2,51,200,93.49,FAKE,2025-11-02T15:34:15
fake_2,52,200,89.31,FAKE,2025-11-02T15:34:15
fake_2,53,200,98.07,FAKE,2025-11-02T15:34:15
fake_2,54,200,93.01,FAKE,2025-11-02T15:34:15
fake_2,55,200,90.16,FAKE,2025-11-02T15:34:15
fake_2,56,200,98.42,FAKE,2025-11-02T15:34:15
fake_2,57,200,91.93,FAKE,2025-11-02T15:34:15
fake_2,58,200,92.94,FAKE,2025-11-02T15:34:15
fake_2,59,200,97.17,FAKE,2025-11-02T15:34:15
fake_2,60,200,95.69,FAKE,2025-11-02T15:34:16
fake_2,61,200,92.48,FAKE,2025-11-02T15:34:16
fake_2,62,200,96.0,FAKE,2025-11-02T15:34:16
fake_2,63,200,94.14,FAKE,2025-11-02T15:34:16
fake_2,64,200,95.43,FAKE,2025-11-02T15:34:16
fake_2,65,200,94.6,FAKE,2025-11-02T15:34:16
fake_2,66,200,95.73,FAKE,2025-11-02T15:34:16
fake_2,67,200,95.95,FAKE,2025-11-02T15:34:16
fake_2,68,200,102.16,FAKE,2025-11-02T15:34:16
fake_2,69,200,93.2,FAKE,2025-11-02T15:34:16
fake_2,70,200,101.16,FAKE,2025-11-02T15:34:16
fake_2,71,200,94.32,FAKE,2025-11-02T15:34:17
fake_2,72,200,97.04,FAKE,2025-11-02T15:34:17
fake_2,73,200,100.03,FAKE,2025-11-02T15:34:17
fake_2,74,200,116.89,FAKE,2025-11-02T15:34:17
fake_2,75,200,95.63,FAKE,2025-11-02T15:34:17
fake_2,76,200,97.67,FAKE,2025-11-02T15:34:17
fake_2,77,200,92.86,FAKE,2025-11-02T15:34:17
fake_2,78,200,94.34,FAKE,2025-11-02T15:34:17
fake_2,79,200,95.2,FAKE,2025-11-02T15:34:17
fake_2,80,200,99.68,FAKE,2025-11-02T15:34:17
fake_2,81,200,94.04,FAKE,2025-11-02T15:34:18
fake_2,82,200,89.71,FAKE,2025-11-02T15:34:18
fake_2,83,200,93.28,FAKE,2025-11-02T15:34:18
fake_2,84,200,94.75,FAKE,2025-11-02T15:34:18
fake_2,85,200,97.58,FAKE,2025-11-02T15:34:18
fake_2,86,200,91.34,FAKE,2025-11-02T15:34:18
fake_2,87,200,92.66,FAKE,2025-11-02T15:34:18
fake_2,88,200,94.32,FAKE,2025-11-02T15:34:18
fake_2,89,200,1100.18,FAKE,2025-11-02T15:34:18
fake_2,90,200,91.28,FAKE,2025-11-02T15:34:19
fake_2,91,200,101.5,FAKE,2025-11-02T15:34:20
fake_2,92,200,95.1,FAKE,2025-11-02T15:34:20
fake_2,93,200,96.71,FAKE,2025-11-02T15:34:20
fake_2,94,200,98.24,FAKE,2025-11-02T15:34:20
